date,symbol,entry_date,entry_price,exit_price,exit_reason,r_multiple,pnl
2026-04-30T00:00:00,REG,2026-04-24T00:00:00,80.7607,77.4824,stop,-1.0242,-716.96
2026-05-14T00:00:00,KIM,2026-04-24T00:00:00,23.8138,23.1368,stop_gap,-0.5577,-390.4
2026-05-14T00:00:00,TT,2026-04-24T00:00:00,486.0155,471.8777,stop,-0.3761,-263.24
2026-05-15T00:00:00,PSA,2026-04-24T00:00:00,310.9306,294.3553,stop,-0.7035,-492.46
2026-05-18T00:00:00,GNRC,2026-04-24T00:00:00,220.8706,252.3374,stop,1.5836,1108.51
2026-05-18T00:00:00,KEYS,2026-04-24T00:00:00,350.35,342.9967,stop,-0.2205,-154.34
2026-05-19T00:00:00,PWR,2026-04-24T00:00:00,638.638,705.6536,stop_gap,1.0699,748.92
2026-05-19T00:00:00,VRT,2026-04-24T00:00:00,328.328,321.1286,stop,-0.152,-106.42
2026-05-21T00:00:00,CASY,2026-04-24T00:00:00,791.801,820.179,stop,0.4532,317.27
2026-05-21T00:00:00,WMT,2026-04-24T00:00:00,132.0619,124.2836,stop_gap,-0.8177,-572.42
2026-05-29T00:00:00,OKE,2026-05-20T00:00:00,95.1951,83.5763,stop,-1.0073,-705.08
2026-06-01T00:00:00,KMI,2026-05-20T00:00:00,34.3443,30.8491,stop,-1.0089,-706.24
2026-06-04T00:00:00,KO,2026-04-30T00:00:00,78.8738,77.6523,stop,-0.2825,-197.76
2026-06-08T00:00:00,CIEN,2026-05-18T00:00:00,564.0535,485.7638,stop,-1.0062,-704.37
2026-06-15T00:00:00,XOM,2026-05-21T00:00:00,158.5784,139.6003,stop_gap,-1.2143,-850.02
2026-06-17T00:00:00,VRSN,2026-05-15T00:00:00,293.4131,265.724,stop,-1.0097,-706.79
