date,symbol,entry_price,exit_price,shares,pnl,reason
2026-05-06T00:00:00,VLO,251.3000030517578,236.4533,19.896537760766357,-295.4,rank_exit
2026-05-13T00:00:00,OXY,60.7599983215332,56.1238,82.29098318174265,-381.52,rank_exit
2026-05-20T00:00:00,TER,306.3299865722656,343.9957,16.32226755189199,614.79,rank_exit
2026-05-20T00:00:00,EQIX,1089.0699462890625,1063.995,4.591073343853796,-115.12,rank_exit
2026-05-20T00:00:00,CF,126.77999877929688,123.1767,39.43839760327003,-142.11,rank_exit
2026-05-27T00:00:00,LYB,73.29000091552734,67.6023,68.22213040716024,-388.03,rank_exit
2026-05-27T00:00:00,DOW,39.54999923706055,34.4555,126.42225275480466,-644.06,rank_exit
2026-05-27T00:00:00,CASY,852.510009765625,783.5956,5.865033774060456,-404.19,rank_exit
2026-06-03T00:00:00,GEV,1063.1099853515625,958.4006,4.703182237862753,-492.47,rank_exit
2026-06-03T00:00:00,APA,40.31999969482422,38.2917,124.00793744653322,-251.53,rank_exit
2026-06-10T00:00:00,VRT,306.17999267578125,280.699,16.330263634484364,-416.11,rank_exit
2026-06-10T00:00:00,GLW,151.89999389648438,168.0018,32.9163936860153,530.01,rank_exit
2026-06-10T00:00:00,KEYS,335.4599914550781,323.676,14.904907074945646,-175.64,rank_exit
2026-06-10T00:00:00,PWR,785.239990234375,650.2691,6.367480085301848,-859.42,rank_exit
2026-06-17T00:00:00,FIX,1724.1400146484375,1929.8382,2.8999964953655635,596.52,rank_exit
2026-06-17T00:00:00,LITE,858.3200073242188,869.11,5.825333159350808,62.86,rank_exit
2026-06-18T00:00:00,CIEN,475.3900146484375,427.7918,10.517679896363877,-500.62,ma100_exit
2026-06-24T00:00:00,UNH,407.4599914550781,405.3942,12.271143437039125,-25.35,rank_exit
2026-06-24T00:00:00,JBL,345.1499938964844,371.4282,14.486455420594835,380.68,rank_exit
2026-07-01T00:00:00,COHR,304.92999267578125,368.2813,16.397206309962044,1038.79,rank_exit
2026-07-01T00:00:00,QCOM,212.97000122070312,181.7381,23.477484957228533,-733.25,rank_exit
2026-07-08T00:00:00,SNDK,1064.2099609375,1725.4529,4.698320992593721,3106.73,rank_exit
2026-07-08T00:00:00,CSCO,117.33000183105469,113.7062,42.614846347650946,-154.43,rank_exit
2026-07-15T00:00:00,ON,110.20999908447266,92.4475,45.36793432116491,-805.85,rank_exit
2026-07-22T00:00:00,CSCO,111.7699966430664,112.0978,44.734724435640146,14.66,rank_exit
2026-07-22T00:00:00,KLAC,240.47999572753906,214.4753,20.7917502030603,-540.68,rank_exit
2026-07-28T00:00:00,INTC,120.29000091552734,86.2137,41.56621466410336,-1416.42,ma100_exit
2026-07-28T00:00:00,MRVL,276.70001220703125,174.2955,18.070111237504833,-1850.46,ma100_exit
2026-07-28T00:00:00,LRCX,391.260009765625,269.3404,12.779225771105846,-1558.04,ma100_exit
2026-07-29T00:00:00,FLEX,150.72000122070312,102.917,33.1740973958617,-1585.82,ma100_exit
2026-07-29T00:00:00,AMAT,570.5,436.0136,8.76424189307625,-1178.67,ma100_exit
2026-08-05T00:00:00,DVA,232.0800018310547,188.5013,21.544294900686047,-938.87,ma100_exit
2026-08-05T00:00:00,FFIV,386.95001220703125,410.9087,12.921565686176622,309.58,rank_exit
2026-08-05T00:00:00,UNH,420.57000732421875,412.3372,11.888627132047208,-97.88,rank_exit
2026-08-05T00:00:00,WST,337.4599914550781,350.669,14.816571228016487,195.71,rank_exit
2026-08-05T00:00:00,URI,1055.1099853515625,1160.878,4.738842461370509,501.22,rank_exit
2026-08-06T00:00:00,WDC,412.760009765625,451.0685,12.113576610387037,464.05,ma100_exit
2026-08-12T00:00:00,CVS,108.08000183105469,94.6253,46.262027343557534,-622.44,rank_exit
2026-08-12T00:00:00,DOC,21.790000915527344,20.6393,229.46304680680618,-264.03,rank_exit
2026-08-12T00:00:00,MRVL,211.02000427246094,216.8629,23.69443606656453,138.44,rank_exit
2026-08-12T00:00:00,AMAT,534.239990234375,547.6019,9.35908971884801,125.06,rank_exit
2026-08-12T00:00:00,STX,643.2999877929688,877.3318,7.772423589115837,1818.99,rank_exit
2026-08-19T00:00:00,AMD,495.5400085449219,465.9536,10.090002651212245,-298.53,rank_exit
2026-08-19T00:00:00,CNC,68.3499984741211,64.6353,73.1528911722378,-271.74,rank_exit
2026-08-19T00:00:00,UAL,125.12000274658203,115.6642,39.96163595142335,-377.87,rank_exit
2026-08-19T00:00:00,STT,176.0399932861328,185.6242,28.402636847827377,272.22,rank_exit
2026-08-26T00:00:00,DDOG,250.3300018310547,227.4423,19.973634655962858,-457.15,rank_exit
2026-08-26T00:00:00,GEN,27.950000762939453,29.6104,178.89087168218592,297.02,rank_exit
2026-08-26T00:00:00,MU,928.4099731445312,937.4616,5.385551797838797,48.75,rank_exit
2026-08-26T00:00:00,SWK,102.9000015258789,99.6602,48.5908641968535,-157.42,rank_exit
